MV,NDR,Schwerin,H,freenet TV2,24
MV,NDR,Schwerin,H,freenet TV3,26
NI,NDR,Aurich,H,ARD,29
NI,NDR,Aurich,H,ARD regional,43
NI,NDR,Aurich,H,ZDF,35
NI,NDR,Aurich,H,freenet TV1
NI,NDR,Aurich,H,freenet TV2
NI,NDR,Aurich,H,freenet TV3
NI,NDR,Bad Pyrmont,H,ARD,22
NI,NDR,Bad Pyrmont,H,ARD regional,58
NI,NDR,Bad Pyrmont,H,ZDF,38
NI,NDR,Bad Pyrmont,H,freenet TV1
NI,NDR,Bad Pyrmont,H,freenet TV2
NI,NDR,Bad Pyrmont,H,freenet TV3
NI,NDR,Braunschweig,V,ARD,23
NI,NDR,Braunschweig,V,ARD regional,40
NI,NDR,Braunschweig,V,ZDF,36
NI,NDR,Braunschweig,V,freenet TV1,44
NI,NDR,Braunschweig,V,freenet TV2,21
NI,NDR,Braunschweig,V,freenet TV3,47
NI,NDR,Braunschweig (KW),V,ARD,23
NI,NDR,Braunschweig (KW),V,ARD regional,40
NI,NDR,Braunschweig (KW),V,ZDF,36
NI,NDR,Braunschweig (KW),V,freenet TV1,44
NI,NDR,Braunschweig (KW),V,freenet TV2,21
NI,NDR,Braunschweig (KW),V,freenet TV3,47
NI,RB,Bremerhaven (Schiffdorf),H,ARD,29
NI,RB,Bremerhaven (Schiffdorf),H,ARD regional,55
NI,RB,Bremerhaven (Schiffdorf),H,ZDF,35
NI,RB,Bremerhaven (Schiffdorf),H,freenet TV1,42
NI,RB,Bremerhaven (Schiffdorf),H,freenet TV2,48
NI,RB,Bremerhaven (Schiffdorf),H,freenet TV3,22
NI,NDR,Hannover,H,ARD,23
NI,NDR,Hannover,H,ARD regional,40
NI,NDR,Hannover,H,ZDF,36
NI,NDR,Hannover,H,freenet TV1,44
NI,NDR,Hannover,H,freenet TV2,21
NI,NDR,Hannover,H,freenet TV3,47
NI,NDR,Hannover (Hemmingen),H,ARD,23
NI,NDR,Hannover (Hemmingen),H,ARD regional,40
NI,NDR,Hannover (Hemmingen),H,ZDF,36
NI,NDR,Hannover (Hemmingen),H,freenet TV1
NI,NDR,Hannover (Hemmingen),H,freenet TV2
NI,NDR,Hannover (Hemmingen),H,freenet TV3
NI,NDR,Sibbesse,V,ARD,23
NI,NDR,Sibbesse,V,ARD regional,40
NI,NDR,Sibbesse,V,ZDF,36
NI,NDR,Sibbesse,V,freenet TV1
NI,NDR,Sibbesse,V,freenet TV2
NI,NDR,Sibbesse,V,freenet TV3
NI,NDR,Steinkimmen,H,ARD,29
NI,NDR,Steinkimmen,H,ARD regional,55
NI,NDR,Steinkimmen,H,ZDF,35
NI,NDR,Steinkimmen,H,freenet TV1
NI,NDR,Steinkimmen,H,freenet TV2
NI,NDR,Steinkimmen,H,freenet TV3
NI,NDR,Torfhaus,V,ARD,23
NI,NDR,Torfhaus,V,ARD regional,40
NI,NDR,Torfhaus,V,ZDF
NI,NDR,Torfhaus,V,freenet TV1
NI,NDR,Torfhaus,V,freenet TV2
NI,NDR,Torfhaus,V,freenet TV3
NW,WDR,Aachen (Stadt),V,ARD,35
NW,WDR,Aachen (Stadt),V,ARD regional,26
NW,WDR,Aachen (Stadt),V,ZDF,29
NW,WDR,Aachen (Stadt),V,freenet TV1,40
NW,WDR,Aachen (Stadt),V,freenet TV2,43
NW,WDR,Aachen (Stadt),V,freenet TV3,36
NW,WDR,Aachen (Stolberg),V,ARD,35
NW,WDR,Aachen (Stolberg),V,ARD regional,26
NW,WDR,Aachen (Stolberg),V,ZDF,29
NW,WDR,Aachen (Stolberg),V,freenet TV1
NW,WDR,Aachen (Stolberg),V,freenet TV2
NW,WDR,Aachen (Stolberg),V,freenet TV3
NW,WDR,Bonn (Venusberg),V,ARD,35
NW,WDR,Bonn (Venusberg),V,ARD regional,26
NW,WDR,Bonn (Venusberg),V,ZDF,29
NW,WDR,Bonn (Venusberg),V,freenet TV1,40
NW,WDR,Bonn (Venusberg),V,freenet TV2,43
NW,WDR,Bonn (Venusberg),V,freenet TV3,36
NW,WDR,Dortmund,V,ARD,35
NW,WDR,Dortmund,V,ARD regional,25
NW,WDR,Dortmund,V,ZDF,29
NW,WDR,Dortmund,V,freenet TV1,40
NW,WDR,Dortmund,V,freenet TV2,43
NW,WDR,Dortmund,V,freenet TV3,48
NW,WDR,Duesseldorf,V,ARD,35
NW,WDR,Duesseldorf,V,ARD regional,46
NW,WDR,Duesseldorf,V,ZDF,29
NW,WDR,Duesseldorf,V,freenet TV1,40
